tag,solver,nfe_budget,sampling_steps,actual_nfe,seed,AP,AP50,AP75,latency_ms_median,latency_ms_mean,wall_s
m4_e0ctrl_full,euler,2,2,2,1,66.69825444682878,87.80332933213903,72.42403538796988,66.41,67.9,55.7
m4_e0ctrl_full,euler,2,2,2,2,66.49148439042011,87.96834960544714,72.18645313091949,65.61,67.29,54.0
m4_e0ctrl_full,euler,3,3,3,0,66.2675587970063,87.38553690014979,71.98845285019367,88.49,90.25,71.4
m4_e0ctrl_full,euler,3,3,3,1,66.36208258145693,87.24102287878613,72.80788035364519,89.22,90.49,71.3
m4_e0ctrl_full,euler,3,3,3,2,66.4404967151008,87.3578896534073,72.46775804025737,88.87,90.46,71.5
m4_e0ctrl_full,euler,4,4,4,0,66.1129954543448,86.94343329654842,72.48732011597463,112.37,113.63,88.7
m4_e0ctrl_full,euler,4,4,4,1,65.7057683609844,86.18633313815123,71.61753426134106,112.25,114.64,89.6
m4_e0ctrl_full,euler,4,4,4,2,65.95185936091106,87.37104947383932,72.26501102242014,99.52,103.85,81.4
m4_e0ctrl_full,euler,6,6,6,0,65.67354810822532,86.67036228041528,71.91731872853802,158.7,159.69,123.4
m4_e0ctrl_full,euler,6,6,6,1,65.45819613724714,86.0150684312324,71.56287823237045,158.6,159.43,123.0
m4_e0ctrl_full,euler,6,6,6,2,65.42567684691538,86.62921717085335,71.69541145900965,158.56,159.06,122.6
m4_e0ctrl_full,euler,8,8,8,0,65.22544815764363,85.88485104258639,70.85774249430519,202.29,203.41,155.8
m4_e0ctrl_full,euler,8,8,8,1,65.340394027861,85.87248037346366,71.60566928700639,204.39,206.23,158.1
m4_e0ctrl_full,euler,8,8,8,2,65.41374767431331,86.52991650724299,71.34195429101588,203.79,205.58,157.7
m4_e0ctrl_full,euler,10,10,10,0,64.92455974569948,85.87073544813339,71.21181131109795,248.66,251.32,191.9
m4_e0ctrl_full,euler,10,10,10,1,65.03675086762092,85.42526635137536,71.40108376418999,249.25,250.12,191.1
m4_e0ctrl_full,euler,10,10,10,2,65.26454899495455,85.51573338867577,71.67163858496987,251.12,251.71,192.3
m4_e0ctrl_full,heun,1,1,1,0,67.09313683157367,88.42388610194641,72.97165308788536,39.76,40.76,34.1
m4_e0ctrl_full,heun,1,1,1,1,66.82995430339751,88.40238012204502,72.33004456550215,40.81,42.16,34.8
m4_e0ctrl_full,heun,1,1,1,2,66.92398936434034,88.58747458353584,72.36458295556827,40.73,41.73,34.4
m4_e0ctrl_full,heun,3,2,3,0,66.60147689862083,87.82473882223596,72.86639621415202,62.92,64.23,51.7
m4_e0ctrl_full,heun,3,2,3,1,66.69825444682878,87.80332933213903,72.42403538796988,63.08,64.63,51.9
m4_e0ctrl_full,heun,3,2,3,2,66.49148439042011,87.96834960544714,72.18645313091949,64.29,65.07,52.5
m4_e0ctrl_full,heun,6,3,5,0,66.2675587970063,87.38553690014979,71.98845285019367,87.48,88.68,69.9
m4_e0ctrl_full,heun,6,3,5,1,66.36208258145693,87.24102287878613,72.80788035364519,87.31,89.2,70.5
m4_e0ctrl_full,heun,6,3,5,2,66.4404967151008,87.3578896534073,72.46775804025737,87.11,88.15,69.8
m4_e0ctrl_full,heun,8,4,7,0,65.87729979582154,86.8550538654399,71.57801431408389,133.33,134.31,104.1
m4_e0ctrl_full,heun,8,4,7,1,65.5774689433017,86.07084153396993,71.77725883575096,134.62,136.09,105.6
m4_e0ctrl_full,heun,8,4,7,2,65.946969321775,86.6678226143005,72.6279267538453,133.95,135.56,105.1
m4_e0ctrl_full,heun,10,5,9,0,65.31037475423379,86.27929248360451,71.08398213316573,181.51,182.18,140.5
m4_e0ctrl_full,heun,10,5,9,1,65.17338768733691,85.77580166681109,71.25856825767072,182.03,183.19,140.8
m4_e0ctrl_full,heun,10,5,9,2,65.79301103774947,86.60720761383801,72.32793186646178,181.76,183.59,141.3
m4_e0ctrl_full,dpm_v3,1,1,1,0,67.09313683157367,88.42388610194641,72.97165308788536,49.83,51.94,42.0
m4_e0ctrl_full,dpm_v3,1,1,1,1,66.82995430339751,88.40238012204502,72.33004456550215,49.79,52.67,42.6
m4_e0ctrl_full,dpm_v3,1,1,1,2,66.92398936434034,88.58747458353584,72.36458295556827,51.79,54.47,44.1
m4_e0ctrl_full,dpm_v3,2,2,2,0,67.11512574878951,88.48095931650263,72.57588566570283,80.79,82.96,65.4
m4_e0ctrl_full,dpm_v3,2,2,2,1,67.1499290624962,88.80967289412207,73.66567530190163,80.66,83.41,66.1
m4_e0ctrl_full,dpm_v3,2,2,2,2,67.0696617677104,88.67437026900745,73.02328935406132,74.21,78.37,62.0
m4_e0ctrl_full,dpm_v3,3,3,3,0,66.44692272639972,87.4316484697949,72.45625405006598,102.64,105.51,82.9
m4_e0ctrl_full,dpm_v3,3,3,3,1,66.3094712098217,87.43101036350546,72.12313964289976,113.46,117.23,91.5
m4_e0ctrl_full,dpm_v3,3,3,3,2,66.9708835135628,88.01623964447478,72.75136062178359,114.2,116.33,91.4
m4_e0ctrl_full,dpm_v3,4,4,4,0,65.93673658920312,87.32707084465213,71.3583864779109,145.08,148.29,114.9
m4_e0ctrl_full,dpm_v3,4,4,4,1,66.07017696157557,86.74448325718318,72.6408396546594,144.26,147.22,113.9
m4_e0ctrl_full,dpm_v3,4,4,4,2,65.98565071556278,86.62402315571107,72.27247086317541,146.64,150.57,116.6
m4_e0ctrl_full,dpm_v3,6,6,6,0,65.40591267884933,86.22341913579996,72.05441611104443,206.69,212.21,162.8
m4_e0ctrl_full,dpm_v3,6,6,6,1,65.73714200713445,86.26159292072211,71.94173856792406,204.32,207.89,159.3
m4_e0ctrl_full,dpm_v3,6,6,6,2,65.27502214600779,86.03689287912893,71.75804181989118,205.78,210.59,161.3
m4_e0ctrl_full,dpm_v3,8,8,8,0,64.71490565520881,85.35984862720858,71.5277574180189,266.21,272.68,207.7
m4_e0ctrl_full,dpm_v3,8,8,8,1,64.10578181935924,84.7440599547571,70.17167937159937,265.47,270.88,206.6
m4_e0ctrl_full,dpm_v3,8,8,8,2,64.36174537076904,85.20776545689156,70.20458262631638,265.45,271.03,206.4
m4_e0ctrl_full,dpm_v3,10,10,10,0,63.812864323780694,84.20936950639107,69.90811635493363,324.92,331.7,252.6
m4_e0ctrl_full,dpm_v3,10,10,10,1,63.727865211183655,84.12375419306136,69.83370010352493,326.43,333.24,253.8
m4_e0ctrl_full,dpm_v3,10,10,10,2,63.792412218711846,84.70158781015049,69.64167212992476,326.75,334.52,254.6
